product-base href,img-responsive src,product-brand,product-product
https://www.myntra.com/dresses/athena/athena-mauve-sheath-dress/12049958/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/7/8/a4622a59-f215-4f95-ac4c-55b351138dee1594161141058-1.jpg",Athena,Sheath Dress
https://www.myntra.com/dresses/rajoria+instyle/digital-print-designer-dress-for-women/19236410/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19236410/2022/7/23/a7431980-18e9-4a67-9bf8-c745053379b61658584252649DigitalPrintdesignerDressForWomen1.jpg",Rajoria Instyle,Designer Dress For Women
https://www.myntra.com/dresses/true+shape/true-shape-floral-printed-fit-and-flare-pleated-maternity-dresses/24222280/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24222280/2023/7/27/04b94787-2df0-4f57-a35f-d39b4f0c0f4e1690446490242TrueShapePrintedFlaredWomensMaternityKurtaForNursingPregnanc1.jpg",True Shape,Printed Maternity Dresses
https://www.myntra.com/ethnic-dresses/sangria/sangria-tie-up-neck-printed-ethnic-a-line-midi-dress/20630910/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20630910/2022/12/6/4f2390b1-8f2e-4e56-b938-6ee5e71970701670328156290-Sangria-Women-Dresses-5351670328155740-1.jpg",Sangria,Tie-Up Neck Printed Dress
https://www.myntra.com/dresses/dressberry/dressberry-women-grey-sheath-mini-dress/20457910/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20457910/2022/10/19/0e9d574b-ee85-452a-b40b-8b8aea02da6a1666164758635SolidAdjustableStrapPolyRayonShortDress1.jpg",DressBerry,Sheath Mini Dress
https://www.myntra.com/dresses/kasma/kasma-women-grey-jumper-dress/20740712/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20740712/2022/11/14/24df4f91-c558-464f-8e64-140a2350aece1668414642096KASMAsStylishOversizedDropShouldersWoolenSweaterDressforWome1.jpg",KASMA,Women Jumper Dress
https://www.myntra.com/dresses/aara/aara-women-green-solid-sheath-dress/11302556/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/1/9/430f5417-e55a-4343-acba-0863c80154281578529981362-1.jpg",AARA,Women Solid Sheath Dress
https://www.myntra.com/dresses/status+mantra/status-mantra-pack-of-2-printed-pure-cotton-t-shirt-dresses/23440614/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23440614/2023/5/27/2c82703d-883e-42e4-8c26-0b1f02323ac51685166355156STATUSMANTRAMulticolouredPrintT-shirtDress1.jpg",STATUS MANTRA,Pack Of 2 Cotton T-shirt Dress
https://www.myntra.com/dresses/anwaind/anwaind-women-teal-green-jumper-dress/20856358/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20856358/2022/11/28/b7e68fe4-10da-4566-9f2b-e2213b1ccb9a1669618656493-ANWAIND-Women-Clothing-Set-6651669618655921-1.jpg",ANWAIND,Women Jumper Dress
https://www.myntra.com/dresses/kibo/kibo-women-wrap-dress/21130128/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21130128/2022/12/8/62387198-2952-4933-86fe-0f6cbc84033b1670509478894KiboWomensPeacockBluePuffedSleeveAsymmetricDress1.jpg",Kibo,Women Wrap Dress
https://www.myntra.com/dresses/athena/athena-women-grey-solid-maxi-dress/13584076/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/2/3/49a7de7f-24d1-4447-a9e4-2c9425c951f41612335480445-1.jpg",Athena,Solid Maxi Dress
https://www.myntra.com/dresses/lulu+%26+sky/lulu--sky-women-sheath-dress/28886102/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28886102/2024/4/12/eb75776b-7b75-47e5-88f8-26330a59bcc71712913542019LULUSKYSheathDress1.jpg",LULU & SKY,Sheath Dress
https://www.myntra.com/dresses/trendyol/trendyol-women-burgundy-bodycon-mini-dress/20265184/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20265184/2022/10/6/2fd55694-3bda-4f6b-9b65-d0f7cdd10bfe1665040164326-Trendyol-Burgundy-Bodycon-Mini-Dress-1181665040164084-1.jpg",Trendyol,Women Bodycon Mini Dress
https://www.myntra.com/dresses/status+mantra/status-mantra-pack-of-2-printed-pure-cotton-t-shirt-dresses/23439960/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23439960/2023/5/27/d24d0efd-6c9a-4a38-996b-5d29e5b64a181685176188471STATUSMANTRAMulticolouredPrintT-shirtDress1.jpg",STATUS MANTRA,Pack Of 2 Cotton T-shirt Dress
https://www.myntra.com/dresses/status+mantra/status-mantra-pack-of-2-typography-printed-pure-cotton-t-shirt-dresses/23431934/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23431934/2023/5/26/cf106696-cf21-46d8-bf3f-6ab756e32e021685124333566STATUSMANTRAMulticolouredPrintT-shirtDress1.jpg",STATUS MANTRA,Pack Of 2 T-shirt Dresses
https://www.myntra.com/dresses/sheczzar/sheczzar-women-sheath-mini-dress/29961432/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29961432/2024/6/13/8cc783a5-03ac-4077-b08b-2951389ae7371718303328999SHECZZARPUCoatedSheathMiniDress1.jpg",SHECZZAR,Sheath Mini Dress
https://www.myntra.com/dresses/baesd/baesd-scuba-blazer-dresses/29672272/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29672272/2024/5/21/6009a5ef-546c-4e70-b37d-467c0b9fef511716288950946BAESDScubaDress1.jpg",BAESD,Scuba Blazer Dresses
https://www.myntra.com/ethnic-dresses/fusionic/fusionic-maxi-length-gown-with-add-on-sleeves-ethnic-dresses/24026906/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24026906/2023/7/14/2d0ddfe9-9a59-420f-b5e5-de75c49094d41689337563578EthnicDresses1.jpg",Fusionic,Maxi Length Ethnic Dresses
https://www.myntra.com/ethnic-dresses/indya/indya-sequinned-embellished-peplum-maxi-ethnic-dresses/22327120/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22327120/2023/3/14/1ab4845e-8d1d-434a-adb1-ed5d03cdf1a61678797505693DustyPinkFoilPrintPeplumMaxiKurta1.jpg",INDYA,Maxi Ethnic Dresses
https://www.myntra.com/ethnic-dresses/indya/indya-women-geometric-printed-cowl-neck-indie-prints-georgette-anarkali-ethnic-dresses/21498186/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21498186/2023/1/10/cd591159-4afa-4c89-8e44-1e6dbc9f06471673359929488GreenBandhaniPrintedCowlNeckKurta1.jpg",INDYA,Georgette Ethnic Dresses
https://www.myntra.com/ethnic-dresses/chhabra+555/chhabra-555-ethnic-motif-embroidered-gown-ethnic-dresses-with-dupatta/27750968/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27750968/2024/2/21/d5334f91-b0d7-4507-9ddc-ef13fc8fde181708508623990EthnicDresses1.jpg",Chhabra 555,Ethnic Dresses With Dupatta
https://www.myntra.com/ethnic-dresses/mialo+fashion/-mialo-fashion-printed-gown-maxi-maternity-feeding-ethnic-dresses/29658624/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29658624/2024/5/21/f2d3a504-743d-4a1c-8ff0-519b6924b4d31716277699580EthnicDresses1.jpg",Mialo fashion,Maternity Feeding Ethnic Dress
https://www.myntra.com/ethnic-dresses/souchii/souchii-abstract-printed-round-neck-fit--flare-midi-ethnic-dresses/28782334/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28782334/2024/4/8/20febfed-d846-4e13-9f74-c6826c9afedd1712578209376SouchiiDress1.jpg",Souchii,Printed Midi Ethnic Dresses
https://www.myntra.com/ethnic-dresses/sangria/sangria-striped-a-line-ethnic-dresses/25198044/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25198044/2023/9/27/18848baf-b4e5-4298-b08b-f9eaff11575c1695807770247SangriaStripedALineEthnicDresses1.jpg",Sangria,Striped A Line Ethnic Dresses
