Image ID,Image Source,Image Link
e886d05b-1cd4-31ac-8e89-0d4f7f399db3,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20630908/2022/12/6/b7e61b51-71d3-45d5-b931-0c8ae56a3c621670327985928-Sangria-Women-Dresses-9411670327985484-1.jpg"
768aed71-da7d-36fe-bd0a-3d49093b1af3,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27237884/2024/1/27/1dfc1c1c-6e50-4ff8-9d22-fbb1b96e4c941706353004413DUMMYSHAPEWomenGeometricDyedThreadWorkSummerSheersMaternityA1.jpg"
3b0d0f69-e614-36ba-aad5-c36970159080,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24708892/2023/8/29/6d961082-eb16-4ebb-ae3c-97a6ea29cb4f1693289512253NabiaWomenBlueandWhitePlusSizePolkaPrintedDress1.jpg"
23706832-25ad-33fb-8998-2178df709f88,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26616758/2024/4/3/702a4abd-d725-4a97-b40e-9a8f7590aab01712124514975-all-about-you-Women-Dresses-6311712124514509-1.jpg"
7a52887a-1ee8-3da4-b74f-9eb700ce0e49,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24708894/2023/8/29/9e9bf8dc-0b1d-4cd3-86bd-aaf46620f6661693287686135NabiaWomenWhitePlusSizeFloralPrintedMaxiDress1.jpg"
b584bb12-b872-34a7-a148-7b5f5206e30f,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20042222/2022/9/17/40f86b59-2fca-484d-8644-a0676b9111331663398319838AawariBlackDress1.jpg"
970517d1-7550-3496-a234-25df26522575,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/7/8/a4622a59-f215-4f95-ac4c-55b351138dee1594161141058-1.jpg"
1b1e1a7b-1047-3f9d-86d4-a78a58178deb,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19236410/2022/7/23/a7431980-18e9-4a67-9bf8-c745053379b61658584252649DigitalPrintdesignerDressForWomen1.jpg"
d4308e97-5516-3714-855e-2d71a39ba24b,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24222280/2023/7/27/04b94787-2df0-4f57-a35f-d39b4f0c0f4e1690446490242TrueShapePrintedFlaredWomensMaternityKurtaForNursingPregnanc1.jpg"
1f15dc3a-4281-3cb9-a01e-4dba5f296181,Pinterest,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20630910/2022/12/6/4f2390b1-8f2e-4e56-b938-6ee5e71970701670328156290-Sangria-Women-Dresses-5351670328155740-1.jpg"
